CG1 — 42.5%,CG2 —  50.5%,CG3 —  86%,CG4 — 86.5%,CG5 — 86.5%,,,CG1 — 40.5%,CG2 — 53.5%,CG2 — 88%,CG4 — 88.5%,CG5 — 88.5%
6.24368,1.59258,6.11078,6.11078,6.11078,,,0.69847,89.5714,89.5714,89.5714,89.5714
1.04837,0.992778,0.992778,0.992778,0.992778,,,1.00435,1.00435,1.00435,1.00435,1.00435
0.622353,0.265293,17.7142,17.7142,17.7142,,,0.521027,0.339107,71.0799,71.0799,71.0799
0.857514,82.7467,82.7467,82.7467,82.7467,,,0.854064,39.5278,39.5278,39.5278,39.5278
12.0545,0.0766808,1.57476,1.57476,1.57476,,,8.17667,0.561992,27.6695,27.6695,27.6695
5.20035,0.66306,0.918756,0.918756,0.918756,,,0.754025,1065.83,1065.83,1065.83,1065.83
7.44064,0.690515,4.77393,4.77393,4.77393,,,9.38008,0.420489,0.420489,0.420489,0.420489
0.920372,0.349725,70.5153,70.5153,70.5153,,,0.572742,0.345935,36.3103,36.3103,36.3103
0.630473,0.408191,69.1535,69.1535,69.1535,,,1.61843,0.455351,91.2095,91.2095,91.2095
0.549457,19.3544,19.3544,19.3544,19.3544,,,0.505353,63.7932,63.7932,63.7932,63.7932
0.652672,0.427269,5.58237,5.58237,5.58237,,,0.569962,0.355101,55.5697,55.5697,55.5697
1.69056,1.69056,1.69056,1.69056,1.69056,,,1.6648,1.6648,1.6648,1.6648,1.6648
0.466056,0.392081,44.118,44.118,44.118,,,0.46207,0.40766,136.762,136.762,136.762
0.851006,0.554892,28.0227,28.0227,28.0227,,,1.34046,0.512148,617.847,617.847,617.847
45.5351,0.467811,0.855544,0.855544,0.855544,,,0.447779,22.3037,22.3037,22.3037,22.3037
0.930319,22.7334,22.7334,22.7334,22.7334,,,0.707908,92.5583,92.5583,92.5583,92.5583
4.43832,0.170267,9.62533,9.62533,9.62533,,,2.27885,0.402631,85.1698,85.1698,85.1698
1.58825,0.363475,2.26655,2.26655,2.26655,,,616.143,0.914934,25.0029,25.0029,25.0029
0.792419,0.0253835,11.9764,11.9764,11.9764,,,0.724639,0.412711,73.298,73.298,73.298
0.980942,1.42113,1.42113,1.42113,1.42113,,,0.960177,1.05111,1.05111,1.05111,1.05111
0.725565,0.522158,50.5416,50.5416,50.5416,,,0.701305,0.604523,752.571,752.571,752.571
0.994917,0.994917,0.994917,0.994917,0.994917,,,0.96437,0.96437,0.96437,0.96437,0.96437
2.87207,1.02129,1.02129,1.02129,1.02129,,,6.00726,0.977644,0.977644,0.977644,0.977644
1.02486,0.447076,88.7309,88.7309,88.7309,,,1.02559,0.733152,208.319,208.319,208.319
28.5661,0.507021,120.706,120.706,120.706,,,3.24576,1.01273,249.547,249.547,249.547
0.338778,79.887,79.887,79.887,79.887,,,0.366644,74.3938,74.3938,74.3938,74.3938
0.542777,3.09251,32.1678,32.1678,32.1678,,,0.654025,0.38745,100.004,100.004,100.004
0.646058,73.0728,73.0728,73.0728,73.0728,,,0.659028,112.35,112.35,112.35,112.35
1.27991,0.941425,1.28193,1.28193,1.28193,,,1.27831,130.119,5.85554,5.85554,5.85554
1.12808,1.2966,46.2662,46.2662,46.2662,,,1.09652,13.9276,8.70775,8.70775,8.70775
0.562465,0.770747,0.770747,0.770747,0.770747,,,1.04647,303.988,303.988,303.988,303.988
0.309156,0.0415036,0.21439,0.21439,0.21439,,,33.0602,33.0602,33.0602,33.0602,33.0602
4.71906,0.0273026,0.185376,0.185376,0.185376,,,0.497423,0.100753,0.100753,0.100753,0.100753
1.19291,18.1733,18.1733,18.1733,18.1733,,,1.10149,4.79862,90.1291,90.1291,90.1291
0.320805,13.0069,13.0069,13.0069,13.0069,,,0.327036,22.341,22.341,22.341,22.341
0.457233,0.40351,0.40351,0.40351,0.40351,,,0.442452,306.169,306.169,306.169,306.169
1.29615,0.310207,20.3817,20.3817,20.3817,,,0.719479,0.342324,37.0752,37.0752,37.0752
0.641619,24.054,24.054,24.054,24.054,,,0.639993,25.2672,25.2672,25.2672,25.2672
0.974943,1.11041,1.26582,1.26582,1.26582,,,0.916916,0.939027,0.903506,0.903506,0.903506
0.879617,0.110205,58.2022,58.2022,58.2022,,,1.39636,0.754892,194.301,194.301,194.301
0.927156,0.69074,151.735,151.735,151.735,,,10.1837,0.806666,347.698,347.698,347.698
4.7318,0.535593,3.66319,3.66319,3.66319,,,0.752045,0.548428,0.548428,0.548428,0.548428
2.24355,18.4876,18.4876,18.4876,18.4876,,,0.69419,389.265,389.265,389.265,389.265
0.683202,57.2578,57.2578,57.2578,57.2578,,,0.725198,54.3542,54.3542,54.3542,54.3542
0.53698,4.82646,4.82646,4.82646,4.82646,,,0.407798,39.7056,39.7056,39.7056,39.7056
0.851147,0.87178,171.007,171.007,171.007,,,0.845803,0.873029,0.873029,0.873029,0.873029
0.656722,0.563093,84.7117,84.7117,84.7117,,,0.644754,0.579041,158.807,158.807,158.807
0.764181,0.595347,0.884064,0.884064,0.884064,,,0.729807,0.628288,9.13266,9.13266,9.13266
0.704993,0.351861,82.3533,82.3533,82.3533,,,0.461363,0.374091,50.0989,50.0989,50.0989
0.345609,14.0094,14.0094,14.0094,14.0094,,,0.339073,284.422,284.422,284.422,284.422
0.538615,0.338461,13.5675,13.5675,13.5675,,,1.32228,0.356686,35.4269,35.4269,35.4269
1.04009,37.6443,37.6443,37.6443,37.6443,,,0.436224,40.1123,40.1123,40.1123,40.1123
0.752062,0.526552,198.444,198.444,198.444,,,4.22564,0.551448,95.4012,95.4012,95.4012
1.28002,1.24107,27.0451,27.0451,27.0451,,,1.1009,0.893623,9992.04,9992.04,9992.04
0.682141,0.731459,175.681,175.681,175.681,,,0.685631,0.737693,61.0645,61.0645,61.0645
0.601091,0.532283,18.8621,18.8621,18.8621,,,0.563933,0.546099,0.55644,380.635,380.635
0.300814,45.5396,45.5396,45.5396,45.5396,,,0.323148,89.7572,89.7572,89.7572,89.7572
0.593285,221.965,221.965,221.965,221.965,,,0.601721,373.011,373.011,373.011,373.011
0.881836,22.9694,22.9694,22.9694,22.9694,,,0.582199,68.9451,68.9451,68.9451,68.9451
20.0952,20.0952,20.0952,20.0952,20.0952,,,23.4868,23.4868,23.4868,23.4868,23.4868
0.319573,0.50991,0.50991,0.50991,0.50991,,,0.316429,0.277243,1.38204,1.38204,1.38204
103.06,0.475974,3.56924,3.56924,3.56924,,,0.880418,38.9618,38.9618,38.9618,38.9618
0.26873,86.6295,4.12027,4.12027,4.12027,,,0.364768,298.424,298.424,298.424,298.424
0.88065,0.754166,145.126,145.126,145.126,,,0.977879,0.918611,28.8788,28.8788,28.8788
2.7788,1.15412,37.5752,37.5752,37.5752,,,1.68145,0.404622,56.6011,56.6011,56.6011
6.94692,0.405703,4.54973,4.54973,4.54973,,,2.18376,0.357513,476.713,476.713,476.713
0.616447,0.0803028,0.362543,0.362543,0.362543,,,1723.0,1723,1723,1723,1723
0.760427,0.532851,15.2442,15.2442,15.2442,,,3.6388,0.628012,111.707,111.707,111.707
0.765375,0.606487,163.509,163.509,163.509,,,0.705211,0.601619,140.018,140.018,140.018
0.273683,0.0270353,4.0636,4.0636,4.0636,,,0.612752,0.886288,1.08699,1.08699,1.08699
1.11053,1.18661,7.66807,7.66807,7.66807,,,1.11856,1.14978,4.69945,4.69945,4.69945
0.631356,0.466934,7583.19,7583.19,7583.19,,,0.772128,0.386938,222.608,222.608,222.608
1.02347,1.02347,1.02347,1.02347,1.02347,,,0.964392,0.964392,0.964392,0.964392,0.964392
0.207065,0.288663,55.9487,55.9487,55.9487,,,0.391522,0.502326,13.6596,13.6596,13.6596
0.805019,0.467299,8.15999,8.15999,8.15999,,,0.494967,0.442091,22.5544,22.5544,22.5544
2.33432,1.17851,5.27702,5.27702,5.27702,,,2.44546,1.16086,5.54144,5.54144,5.54144
1.86784,1.86784,1.86784,1.86784,1.86784,,,1.76827,1.76827,1.76827,1.76827,1.76827
2.37186,0.120612,0.935911,0.935911,0.935911,,,16.3892,0.447076,1.26742,0.844232,0.844232
0.772334,24.3904,24.3904,24.3904,24.3904,,,0.758793,25.2204,25.2204,25.2204,25.2204
30.7982,0.0290682,35.5394,35.5394,35.5394,,,2.31067,0.346724,821.758,821.758,821.758
1.01567,1.10283,3.45679,3.45679,3.45679,,,1.05129,15.421,15.421,15.421,15.421
1.20611,3.17372,3.17372,3.17372,3.17372,,,1.20919,3.13533,3.13533,3.13533,3.13533
0.79667,13.8293,13.8293,13.8293,13.8293,,,0.457291,196.829,196.829,196.829,196.829
1.04052,0.0871326,14.0362,14.0362,14.0362,,,1.28385,0.510546,10.182,10.182,10.182
0.702936,18.9003,18.9003,18.9003,18.9003,,,0.645735,17.9478,17.9478,17.9478,17.9478
2.38214,0.111641,12.4293,12.4293,12.4293,,,3.61838,0.539948,21.8011,21.8011,21.8011
0.707678,1.44473,0.485693,0.485693,0.485693,,,0.832157,0.454276,0.454276,0.454276,0.454276
0.167698,1.78978,1.78978,1.78978,1.78978,,,0.614255,0.335187,9.04403,9.04403,9.04403
1.01425,0.867581,0.867581,0.867581,0.867581,,,1.04063,0.889666,446.699,446.699,446.699
0.123715,5.9948,5.9948,5.9948,5.9948,,,3.83245,1.12634,2.65913,2.65913,2.65913
1.1828,6.13923,15.88,15.88,15.88,,,3.92,0.783882,2.95449,2.95449,2.95449
2.0314,1.18998,5.84875,5.84875,5.84875,,,0.477781,47.0645,47.0645,47.0645,47.0645
0.387785,28.5797,28.5797,28.5797,28.5797,,,0.365549,28.3117,28.3117,28.3117,28.3117
1.42184,0.68164,8.20016,8.20016,8.20016,,,0.947269,0.326952,0.326952,0.326952,0.326952
0.844886,2.15633,4.56886,4.56886,4.56886,,,1.05458,0.614637,179.929,179.929,179.929
0.964854,0.370526,110.912,110.912,110.912,,,0.619718,0.347445,49.7991,49.7991,49.7991
0.473104,0.400557,22.6401,22.6401,22.6401,,,0.708508,0.390693,111.411,111.411,111.411
1.63576,1.63576,1.63576,1.63576,1.63576,,,1.64698,1.64698,1.64698,1.64698,1.64698
39.1965,0.0395389,16.9391,16.9391,16.9391,,,0.890581,0.474404,53.6584,53.6584,53.6584
5.23539,1.04659,1.3712,1.3712,1.3712,,,0.875881,88.1193,88.1193,88.1193,88.1193
0.119177,0.16698,0.122299,0.122299,0.122299,,,0.30877,149.505,149.505,149.505,149.505
10.8712,2.10272,18.1218,18.1218,18.1218,,,1.3153,1.04624,1.32148,1.32148,1.32148
0.342036,0.321231,14.6105,14.6105,14.6105,,,5.76513,0.349619,154.633,154.633,154.633
1.00434,1.34728,1.03872,1.03872,1.03872,,,0.986927,1.52968,0.928567,0.928567,0.928567
0.0957777,0.0201039,0.00310351,0.00310351,0.00310351,,,1.252,1.252,1.252,1.252,1.252
0.843098,1.15101,0.899596,0.837778,0.837778,,,0.815655,1.086,1.72997,0.944226,0.944226
2.13062,0.361606,0.568213,0.568213,0.568213,,,2.01028,1.62453,1.03251,1.03251,1.03251
1.61497,0.454886,0.747783,0.747783,0.747783,,,0.512986,26.9005,26.9005,26.9005,26.9005
0.552208,1.16782,1.16782,1.16782,1.16782,,,1.0091,136.817,136.817,136.817,136.817
2.2058,1.01076,1.31204,1.31204,1.31204,,,1.9003,6.49834,6.49834,6.49834,6.49834
0.447196,26.1062,26.1062,26.1062,26.1062,,,0.482348,92.7019,92.7019,92.7019,92.7019
0.155272,9.6172,9.6172,9.6172,9.6172,,,0.411559,27.7056,27.7056,27.7056,27.7056
0.355449,15.7183,5.35187,5.35187,5.35187,,,0.885055,0.347145,113.099,113.099,113.099
0.530788,0.0745736,20.8198,20.8198,20.8198,,,1.16388,0.350383,26.6439,26.6439,26.6439
0.714738,49.5277,49.5277,49.5277,49.5277,,,0.70683,709.526,709.526,709.526,709.526
1.3236,0.368065,22.8695,22.8695,22.8695,,,0.80865,0.418856,64.6406,64.6406,64.6406
0.330907,0.403787,2.05148,2.05148,2.05148,,,0.331087,0.365829,0.518032,1.48633,1.48633
1.72471,0.256472,0.256472,0.256472,0.256472,,,6.09907,0.269509,2.11373,2.11373,2.11373
1.29186,0.701435,132.843,132.843,132.843,,,0.89472,0.687849,16.8553,16.8553,16.8553
0.723439,15.6789,15.6789,15.6789,15.6789,,,0.65343,14.0716,14.0716,14.0716,14.0716
0.307618,0.317742,10.1171,10.1171,10.1171,,,0.314166,0.317638,0.319376,0.319376,0.319376
0.517849,74.2412,74.2412,74.2412,74.2412,,,0.454885,46.1122,46.1122,46.1122,46.1122
0.0984222,15.6026,15.6026,15.6026,15.6026,,,1.13051,32.4041,32.4041,32.4041,32.4041
1.02493,170.207,170.207,170.207,170.207,,,0.583076,87.4675,87.4675,87.4675,87.4675
0.675978,143.584,143.584,143.584,143.584,,,0.629284,68.8067,68.8067,68.8067,68.8067
2.45818,0.00617148,13.3438,13.3438,13.3438,,,1.86374,0.383727,0.383727,0.383727,0.383727
29.2683,1.64674,33.3333,33.3333,33.3333,,,6.77668,6.77668,6.77668,6.77668,6.77668
0.575295,0.446838,67.6384,67.6384,67.6384,,,0.537162,0.864796,0.591161,0.591161,0.591161
1.34245,1.06464,1.06464,1.06464,1.06464,,,1.194,1.45419,1.45419,1.45419,1.45419
0.224776,1.31267,1.31267,1.31267,1.31267,,,0.78763,0.305489,6.3455,6.3455,6.3455
0.485851,7.36184,7.36184,7.36184,7.36184,,,0.35108,92.7876,92.7876,92.7876,92.7876
17.387,0.331906,1.061,5.53359,5.53359,,,0.87244,0.344213,45.2389,45.2389,45.2389
0.525369,0.565921,154.404,154.404,154.404,,,0.52646,0.569502,150.058,150.058,150.058
11.0604,0.296006,7.80545,7.80545,7.80545,,,8.92282,252.311,252.311,252.311,252.311
0.42657,0.350842,182.149,182.149,182.149,,,3.11059,0.365427,66.7548,66.7548,66.7548
1.20273,557.972,557.972,557.972,557.972,,,0.845966,209.941,209.941,209.941,209.941
0.177632,0.00517911,0.375489,0.375489,0.375489,,,6.13087,0.262786,0.262786,0.262786,0.262786
1.02801,0.317954,161.647,161.647,161.647,,,1.721,0.852414,0.852414,0.852414,0.852414
1.41545,0.0520698,1.06154,1.06154,1.06154,,,0.953695,0.420314,54.6733,54.6733,54.6733
2.40989,1467.37,1467.37,1467.37,1467.37,,,4.01298,1.52511,20.1076,20.1076,20.1076
